Word,Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz
great,2.890543,1077.768307,1819.154888,2890.784453,4422.667626
great,2.896793,940.304994,1785.673179,2833.597036,4534.010277
great,2.903043,318.817114,1386.821749,2620.757646,3029.493527
great,2.909293,331.083246,1252.233388,2257.219524,3540.772128
great,2.915543,360.178795,1196.522798,2285.044364,3722.653386
great,2.921793,377.690439,1236.43851,2138.008326,3609.978857
great,2.928043,392.19407,1270.653965,2095.561778,3369.191331
great,2.934293,394.608848,1331.406556,2078.501284,3339.808285
great,2.940543,404.501908,1352.745263,2086.127591,3292.653986
great,2.946793,430.897488,1408.718234,2099.569697,3277.981264
great,2.953043,482.407688,1460.27387,2097.75427,3211.708095
great,2.959293,480.455715,1508.773562,2154.750687,3213.967572
great,2.965543,483.906007,1557.567653,2183.148089,3216.217026
great,2.971793,500.994089,1590.062547,2199.020281,3228.590216
great,2.978043,509.612604,1660.307622,2213.098393,3251.746577
great,2.984293,498.053303,1766.655874,2321.525438,3236.378024
great,2.990543,448.707366,1771.452511,2433.025381,3274.270781
great,2.996793,476.798821,1800.244269,2488.59185,3330.624842
great,3.003043,477.69967,1882.997844,2393.282424,3327.631249
great,3.009293,495.833363,1778.364005,2419.714155,3444.962517
great,3.015543,457.178833,1742.627485,2491.555565,3565.350472
great,3.021793,403.65506,1646.595751,2488.798535,3556.420377
great,3.028043,327.421961,1614.653953,2502.522083,3601.026849
great,3.034293,311.814838,1607.920955,2546.732925,3543.443788
great,3.040543,327.322029,1553.636894,2537.33745,3598.470656
great,3.046793,320.280882,1677.969776,2562.968496,3510.383687
great,3.053043,236.233311,1751.450826,2509.771187,3516.094435
great,3.059293,287.193824,1698.830047,2489.574813,3482.705599
great,3.065543,339.080269,1597.293367,2531.533126,3747.979275
great,3.071793,336.331038,1564.406918,2515.528423,3720.942529
great,3.078043,268.254757,1560.655288,2487.899877,3795.595
great,3.084293,1577.389171,2659.810415,4093.359391,--undefined--
great,3.090543,1038.972065,1811.00653,2778.726493,4027.728996
great,3.096793,971.078481,1853.612571,2616.775289,4162.778183
great,3.103043,257.243608,1783.25747,2508.582137,4185.01577
great,3.109293,395.102501,1671.311403,2127.937115,2753.28727
great,3.115543,427.247216,1668.450943,2615.62908,2896.465233
great,3.121793,364.989683,1644.584596,2573.913727,3209.765259
great,3.128043,1619.654078,2345.006669,4117.572982,4638.848642
great,3.134293,1474.690858,2316.685039,3929.880718,4643.845602
great,3.140543,1522.044389,2396.830638,3892.883075,4545.896272
great,3.146793,1689.347462,2307.517378,4277.157281,--undefined--
great,3.153043,152.151596,1844.218577,2520.808139,4146.219253
great,3.159293,246.966832,1663.592049,2485.375026,4066.782197
great,3.165543,294.357928,1568.84892,2297.132205,3792.030584
great,3.171793,1507.29092,2309.197998,3731.74346,5112.139487
great,3.178043,1446.27462,2112.415459,2215.237689,3939.622576
great,3.184293,1351.106285,2040.283031,2582.983961,4193.580563
great,3.190543,272.302805,1465.372096,2255.34411,3843.902885
great,3.196793,174.842536,1471.345073,2294.299592,3716.378994
great,3.203043,1436.738858,2297.399919,3813.167667,5006.330403
great,3.209293,258.438389,1489.503332,2290.309337,4120.227532
great,3.215543,1471.462676,1615.405924,2119.130449,4072.023085
great,3.221793,1123.769075,1907.867853,2686.917672,4324.001209
great,3.228043,1110.146809,2043.242057,2739.223744,4247.330109
great,3.234293,1094.962048,1781.581315,2868.903326,4091.156823
great,3.240543,1329.997016,1665.407916,2818.456147,4021.498802
great,3.246793,1488.753022,2437.625225,3582.801658,--undefined--
great,3.253043,1355.317847,2406.220436,4279.974349,4655.987454
great,3.259293,1090.723148,2189.938986,4086.120767,4513.16309
great,3.265543,1125.398408,2696.793061,4185.772236,4562.032317
great,3.271793,810.153425,1361.997649,2621.084838,4097.149633
great,3.278043,1586.966525,2760.232804,4158.692079,4791.436785
great,3.284293,1689.543937,3119.282899,4208.570218,4801.704021
great,3.290543,1722.07759,3057.35386,4221.784038,4908.658984
great,3.296793,1570.827823,2742.229445,4096.289557,4790.037407
great,3.303043,1657.783862,2784.471227,4142.121136,4719.753965
great,3.309293,149.512385,1720.056118,2766.086827,4108.514919
great,3.315543,438.060709,1727.583723,2762.883517,4080.974331
great,3.321793,1680.21465,2771.494844,3930.613742,4852.052542
great,3.328043,222.810863,1712.375258,2734.222655,3959.058543
great,3.334293,504.135693,1738.667952,2674.565572,3972.516174
great,3.340543,506.676184,1722.81921,2727.248684,3971.835482
great,3.346793,540.515156,1703.724899,2751.797592,3956.126701
great,3.353043,550.499795,1647.766056,2707.020783,3962.924775
great,3.359293,322.185232,1656.401733,2792.608026,3994.701216
great,3.365543,499.610561,1701.549187,2667.77436,3944.683572
great,3.371793,700.606016,1852.669413,3872.376694,4819.150935
great,3.378043,239.974603,1538.888688,2528.443749,4031.418292
great,3.384293,89.955011,1572.719179,2455.243731,4076.18963
great,3.390543,1624.48319,2339.092498,3965.339845,4824.437793
great,3.396793,1496.27063,2168.938712,3884.87351,4847.468928
